OT;Núm. Trabajo;Descripción Trabajo;VIN;Marca;Gama;Año;;Tipo Cargo;Tipo de Trabajo;Cliente Cargo  ;Kms.;F. Entrada;F. Cierre;Dif. F. Alta-F.Cierre;Estado
OTM/2140/2025;1;"CLIENTE REPORTA ARREGLO DE PUERTA DELNATERA DERECHA
";FRU254012;Hyundai;Ioniq;2024;;Cliente;OTRO;36599;10;21/07/2025;13/08/2025;23;Anulado
OTM/2155/2025;2;"CLIENTE REPORTA RETOQUE BOMPER TRASERO   FUNCIONARIO PDI
";GTU137142;Hyundai;Kona;2026;;Interno;COLISION;2;10;23/07/2025;12/08/2025;19;Anulado
OTM/2166/2025;1;"TRASLADO DE VEHICULO EN GRUAS  EDIFICIO PARALELO A CALLE 235  AOTORIZA HERNAN
";FPU190438;Hyundai;Ioniq;2023;;Cliente;OTRO;36599;10;23/07/2025;23/07/2025;0;Facturada
OTM/2166/2025;2;"TRASLADO DE VEHICULO EN GRUAS  EDIFICIO PARALELO A CALLE 235  AOTORIZA HERNAN
";FPU190438;Hyundai;Ioniq;2023;;Cliente;OTRO;36599;10;23/07/2025;11/09/2025;0;Facturada
OTM/2166/2025;3;"TRASLADO DE VEHICULO EN GRUAS  EDIFICIO PARALELO A CALLE 235  AOTORIZA HERNAN
";FPU190438;Hyundai;Ioniq;2023;;Cliente;OTRO;36599;10;23/07/2025;11/09/2025;0;Facturada
OTM/2167/2025;1;"CLIENTE SOLICITA TRASALDAO DE VEHICULO GRUAS  EDIFICIO PARALELO  CALLE 235  AUTORIZA HERNAN
";GSU107740;Hyundai;Kona;2025;;Cliente;OTRO;36599;10;23/07/2025;23/07/2025;0;Facturada
OTM/2167/2025;2;"CLIENTE SOLICITA TRASALDAO DE VEHICULO GRUAS  EDIFICIO PARALELO  CALLE 235  AUTORIZA HERNAN
";GSU107740;Hyundai;Kona;2025;;Cliente;OTRO;36599;10;23/07/2025;11/09/2025;0;Facturada
OTM/2167/2025;3;"CLIENTE SOLICITA TRASALDAO DE VEHICULO GRUAS  EDIFICIO PARALELO  CALLE 235  AUTORIZA HERNAN
";GSU107740;Hyundai;Kona;2025;;Cliente;OTRO;36599;10;23/07/2025;11/09/2025;0;Facturada
OTM/2171/2025;1;SUMINISTRO DE BATERIA;ATM329856;Hyundai;Grand I10 NB;2026;;Interno;MECANICA;2;10;25/07/2025;30/07/2025;5;Facturada
OTM/2172/2025;1;CLIENTE SOLICITA SUMINISTRO DE BATERIA;ATM615446;Hyundai;Grand I10;2026;;Interno;MECANICA;2;10;25/07/2025;30/07/2025;5;Facturada
OTM/2192/2025;1;"cliente solicita toma improntas
";GTU145985;Hyundai;Kona;2026;;Interno;MECANICA;2;10;1/08/2025;1/08/2025;0;Facturada
OTM/2204/2025;1;"COBRO DE PARQUEDERO MES AGOSTO LO ACORDADO
";GTU141116;Hyundai;Kona;2026;;Cliente;OTRO;36599;10;4/08/2025;4/08/2025;0;Facturada
OTM/2239/2025;1;CLIENTE SOLICITA  TOMA IMPRONTAS Y LAVADO GENERAL AUT DIANA /HERNAN;BRJ332759;Hyundai;Tucson;2024;;Cliente;MECANICA;36599;10;12/08/2025;12/08/2025;0;Facturada
OTM/2240/2025;1;"CLIENTE SOLICTA TOMA DE IMPRONTAS  AUT DIANA
";GRU117163;Hyundai;Kona;2024;;Cliente;MECANICA;36599;10;12/08/2025;12/08/2025;0;Facturada
